DATE,VALUE
2018-04-01,1000.0
2018-04-02,1005.0
2018-04-03,1017.0
2018-04-04,1022.0
2018-04-05,1047.0
2018-04-06,1055.0
2018-04-07,1060.0
2018-04-08,1069.0
2018-04-09,1077.0
2018-04-10,1086.0
2018-04-11,1098.0
2018-04-12,1103.0
2018-04-13,1115.0
2018-04-14,1123.0
2018-04-15,1126.0
2018-04-16,1131.0
2018-04-17,1141.0
2018-04-18,1152.0
2018-04-19,1160.0
2018-04-20,1164.0
2018-04-21,1172.0
2018-04-22,1183.0
2018-04-23,1208.0
2018-04-24,1220.0
2018-04-25,1228.0
2018-04-26,1238.0
2018-04-27,1248.0
2018-04-28,1273.0
2018-04-29,1278.0
2018-04-30,1285.0
2018-05-01,1294.0
2018-05-02,1309.0
2018-05-03,1319.0
2018-05-04,1327.0
2018-05-05,1339.0
2018-05-06,1348.0
2018-05-07,1360.0
2018-05-08,1367.0
2018-05-09,1377.0
2018-05-10,1385.0
2018-05-11,1395.0
2018-05-12,1404.0
2018-05-13,1408.0
2018-05-14,1420.0
2018-05-15,1445.0
2018-05-16,1470.0
2018-05-17,1482.0
2018-05-18,1491.0
2018-05-19,1500.0
2018-05-20,1500.0
2018-05-21,1510.0
2018-05-22,1520.0
2018-05-23,1530.0
2018-05-24,1540.0
2018-05-25,1550.0
2018-05-26,1555.0
2018-05-27,1559.0
2018-05-28,1570.0
2018-05-29,1578.0
2018-05-30,1590.0
2018-05-31,1600.0
2018-06-05,1625.0
2018-06-04,1620.0
2018-06-03,1615.0
2018-06-02,1610.0
2018-06-01,1605.0
